city,total_customers,total_revenue,avg_spending
abadia dos dourados,3,413.5,137.83333333333334
abadiania,1,1025.52,1025.52
abaete,12,1946.81,162.23416666666665
abaetetuba,11,4672.2699999999995,424.7518181818181
abaiara,2,332.15,166.075
abaira,2,203.0,101.5
abare,2,224.73,112.365
abatia,3,220.19,73.39666666666666
abdon batista,1,156.70000000000002,156.70000000000002
abelardo luz,6,890.86,148.47666666666666
abrantes,1,200.35,200.35
abre campo,5,367.28999999999996,73.458
abreu e lima,9,3333.48,370.38666666666666
acaiaca,2,207.9,103.95
acailandia,7,1233.48,176.21142857142857
acajutiba,1,50.95,50.95
acarau,6,2671.04,445.17333333333335
acari,1,412.43,412.43
acegua,2,282.39,141.195
acopiara,7,901.6700000000001,128.81
acreuna,7,1306.45,186.6357142857143
acu,2,553.45,276.725
acucena,1,54.11,54.11
adamantina,34,6318.12,185.8270588235294
adhemar de barros,1,166.29,166.29
adolfo,5,441.59000000000003,88.31800000000001
adrianopolis,1,89.17,89.17
adustina,1,102.27,102.27
afogados da ingazeira,8,1596.3899999999999,199.54874999999998
afonso claudio,11,1767.92,160.72
afranio,2,448.03999999999996,224.01999999999998
agisse,1,56.37,56.37
agrestina,1,2066.34,2066.34
agrolandia,1,60.91,60.91
agronomica,2,281.5,140.75
agua boa,16,3920.82,245.05125
agua branca,5,661.1,132.22
agua clara,2,259.17,129.585
agua comprida,2,140.65,70.325
agua doce,1,336.05,336.05
agua doce do norte,4,463.52000000000004,115.88000000000001
agua fria de goias,1,167.81,167.81
agua limpa,1,416.8,416.8
agua nova,1,77.67,77.67
agua preta,1,147.34,147.34
agua santa,2,227.59000000000003,113.79500000000002
aguai,9,2370.7999999999997,263.4222222222222
aguas belas,6,1041.4,173.5666666666667
aguas claras,1,116.96,116.96
aguas da prata,10,1257.57,125.75699999999999
aguas de lindoia,22,3758.36,170.83454545454546
aguas de santa barbara,3,202.03,67.34333333333333
aguas de sao pedro,2,304.03,152.015
aguas formosas,5,1580.57,316.114
aguas frias,1,318.98,318.98
aguas lindas de goias,23,3048.61,132.5482608695652
aguas mornas,1,104.52000000000001,104.52000000000001
aguas vermelhas,3,692.8900000000001,230.96333333333337
agudo,1,32.1,32.1
agudos,16,1508.95,94.309375
aguia branca,1,31.130000000000003,31.130000000000003
aimores,10,1143.77,114.377
aiuaba,1,147.38,147.38
aiuruoca,4,365.03,91.2575
