product_category_name_english,revenue,contribution_%,growth_%,growth_category
health_beauty,1233131.72,9.3276,1354.0894070570407,Emerging (Low Base Effect)
watches_gifts,1165898.98,8.81904,1492.5400680554126,Emerging (Low Base Effect)
bed_bath_table,1023434.76,7.74142,3233.7959587663336,Emerging (Low Base Effect)
sports_leisure,954673.55,7.2213,1503.1897050336156,Emerging (Low Base Effect)
computers_accessories,888613.62,6.72161,2623.269263212097,Emerging (Low Base Effect)
furniture_decor,711927.6900000001,5.38513,718.9481603591464,Strong Growth (Real)
housewares,615628.69,4.65671,1644.793898635617,Emerging (Low Base Effect)
cool_stuff,610204.1,4.61568,1375.491068596901,Emerging (Low Base Effect)
auto,578849.35,4.37851,1644.3149590611135,Emerging (Low Base Effect)
toys,471097.49,3.56345,539.4900104908552,Strong Growth (Real)
garden_tools,470495.27999999997,3.5589,1149.1318278163508,Emerging (Low Base Effect)
baby,400421.84,3.02885,1251.9435673800554,Emerging (Low Base Effect)
perfumery,390144.65,2.95111,500.90424913660587,Strong Growth (Real)
telephony,309860.23,2.34383,2661.757070368426,Emerging (Low Base Effect)
office_furniture,268154.31,2.02836,939.5385575551053,Strong Growth (Real)
stationery,223788.69,1.69277,36275.23195802331,Emerging (Low Base Effect)
computers,218684.14,1.65416,24880.660519690024,Emerging (Low Base Effect)
pet_shop,211695.64,1.6013,1256.1908298140024,Emerging (Low Base Effect)
musical_instruments,184315.74,1.39419,32431.105114951133,Emerging (Low Base Effect)
small_appliances,182754.12,1.38238,29210.90923188839,Emerging (Low Base Effect)
Unknown,175967.21,1.33104,3280.879700454485,Emerging (Low Base Effect)
electronics,155043.93,1.17278,2939.0184153727837,Emerging (Low Base Effect)
fashion_bags_accessories,149329.39,1.12955,1245.8675448215774,Emerging (Low Base Effect)
consoles_games,148003.37,1.11952,312.20319753983745,Strong Growth (Real)
construction_tools_construction,142108.49,1.07493,34955.18649215833,Emerging (Low Base Effect)
luggage_accessories,138701.63,1.04916,25121.603834807967,Emerging (Low Base Effect)
home_appliances_2,107953.95,0.81658,29379.29103625119,Emerging (Low Base Effect)
home_construction,81407.57,0.61578,23913.562834365082,Emerging (Low Base Effect)
home_appliances,78832.48,0.5963,23513.71423558776,Emerging (Low Base Effect)
agro_industry_and_commerce,70566.1,0.53377,20243.770545304524,Emerging (Low Base Effect)
furniture_living_room,67350.7,0.50945,18194.05914497928,Emerging (Low Base Effect)
home_confort,58008.450000000004,0.43878,14300.572905270124,Emerging (Low Base Effect)
fixed_telephony,55315.21,0.41841,518.9671956461987,High Growth (Check Base)
air_conditioning,53323.56,0.40335,327.898048332591,High Growth (Check Base)
audio,50570.6,0.38252,1348.9846995948064,Emerging (Low Base Effect)
small_appliances_home_oven_and_coffee,46589.56,0.35241,21313.72690588913,Emerging (Low Base Effect)
kitchen_dining_laundry_garden_furniture,45531.98,0.34441,16334.667626696926,Emerging (Low Base Effect)
books_general_interest,45256.25,0.34233,16273.8358364801,Emerging (Low Base Effect)
construction_tools_lights,39957.0,0.30224,18848.22419120061,Emerging (Low Base Effect)
construction_tools_safety,38773.22,0.29329,17485.880700152607,Emerging (Low Base Effect)
industry_commerce_and_business,38169.81,0.28872,800.4006647395391,High Growth (Check Base)
food,28731.15,0.21733,1494.1409463080327,Emerging (Low Base Effect)
market_place,27795.77,0.21025,187.50239588069925,High Growth (Check Base)
costruction_tools_garden,25096.28,0.18983,12692.33755026813,Emerging (Low Base Effect)
art,23657.3,0.17895,12014.437667510612,Emerging (Low Base Effect)
fashion_shoes,23001.46,0.17399,1563.303598150342,Emerging (Low Base Effect)
drinks,21529.84,0.16286,12893.533006846135,Emerging (Low Base Effect)
signaling_and_security,21315.05,0.16123,12963.781994506797,Emerging (Low Base Effect)
furniture_bedroom,19051.8,0.14411,10298.639334066742,Emerging (Low Base Effect)
books_technical,18702.23,0.14147,11275.416475892212,Emerging (Low Base Effect)
costruction_tools_tools,15903.95,0.1203,10770.446172995844,Emerging (Low Base Effect)
food_drink,14942.88,0.11303,8649.822855349701,Emerging (Low Base Effect)
fashion_male_clothing,10452.33,0.07906,861.4810362833633,High Growth (Check Base)
fashion_underwear_beach,9305.95,0.07039,4808.2583469088095,Emerging (Low Base Effect)
christmas_supplies,8737.84,0.06609,7588.237769476175,Emerging (Low Base Effect)
tablets_printing_image,7528.41,0.05695,3460.842596914388,Emerging (Low Base Effect)
cine_photo,6674.47,0.05049,7632.703278931632,Emerging (Low Base Effect)
music,6034.35,0.04564,6590.2615793405275,Emerging (Low Base Effect)
dvds_blu_ray,4542.59,0.03436,3265.5757308371476,Emerging (Low Base Effect)
party_supplies,4465.1900000000005,0.03378,5020.34178546706,Emerging (Low Base Effect)
books_imported,4418.86,0.03342,5791.408999551804,Emerging (Low Base Effect)
furniture_mattress_and_upholstery,4323.38,0.0327,4113.193563082523,Emerging (Low Base Effect)
fashio_female_clothing,2634.94,0.01993,235.14806558476428,High Growth (Check Base)
fashion_sport,2094.52,0.01584,1822.2382786741086,Emerging (Low Base Effect)
la_cuisine,2054.99,0.01554,2694.637722496424,Emerging (Low Base Effect)
arts_and_craftmanship,1814.01,0.01372,3976.910595046205,Emerging (Low Base Effect)
diapers_and_hygiene,1500.79,0.01135,209.22198455182723,High Growth (Check Base)
flowers,1110.04,0.0084,2797.4816651706356,Emerging (Low Base Effect)
home_comfort_2,760.27,0.00575,1129.186723000212,Emerging (Low Base Effect)
cds_dvds_musicals,730.0,0.00552,706.2257748298549,High Growth (Check Base)
fashion_childrens_clothes,519.95,0.00393,1203.725431216251,Emerging (Low Base Effect)
security_and_services,283.28999999999996,0.00214,-100.0,Declining
